product_id,product_name,grna_map,description,source_filename,source_doi
1,Alpha-Terpineol,N/A,"A C10 monoterpenoid alcohol produced via engineered Saccharomyces cerevisiae through metabolic engineering of the mevalonate pathway, fusion protein strategies, and fermentation optimization.",10.1186_s12934-019-1211-0.pdf,https://doi.org/10.1186/s12934-019-1211-0
2,ophiobolin F,N/A,"Ophiobolin skeleton compound with 5-8-5 tricyclic structure, precursor to bioactive ophiobolins",s12934-024-02406-0.pdf,10.1186/s12934-024-02406-0
3,5-hydroxy-21-formyl-ophiobolin F,N/A,"Novel ophiobolin intermediate with potent cytotoxicity, oxidation product of ophiobolin F",s12934-024-02406-0.pdf,10.1186/s12934-024-02406-0
4,ophiobolin U,N/A,Known bioactive ophiobolin compound produced through P450 oxidation,s12934-024-02406-0.pdf,10.1186/s12934-024-02406-0
5,neoagarooligosaccharides (NAOSs),N/A,Health-benefiting substances with prebiotic effect produced by depolymerizing agarose using endo-type β-agarase,10.1016_j.biortech.2016.08.077.pdf,10.1016/j.biortech.2016.08.077
6,neoagarotetraose (NeoDP4),CRISPR-Cas9 system was used for genomic integration of BpGH16A gene,"A specific neoagarooligosaccharide containing various bioactive properties, produced by engineered S. boulardii from agarose",s12934-021-01644-w.pdf,10.1186/s12934-021-01644-w
7,Isoprene,N/A,"A volatile hydrocarbon produced by engineered Saccharomyces cerevisiae for industrial applications such as rubber manufacturing, perfumes, and pesticides. Achieved via dual regulation of cytoplasmic and mitochondrial acetyl-CoA utilization.",10.1038_ncomms12851.pdf,10.1038/ncomms12851
8,D-Limonene,N/A,"A terpenoid found in citrus peel waste, which acts as a yeast fermentation inhibitor. Its concentration was reduced from 0.21% to 0.01% after popping pretreatment.",10.1016_J.APENERGY.2012.03.066.pdf,10.1016/j.apenergy.2012.03.066
9,L-Limonene,N/A,Monoterpenoid produced by engineered Yarrowia lipolytica.,metabolic-engineering-of-yarrowia-lipolytica-for-terpenoid-production-tools-and-strategies.pdf,10.1021/acssynbio.2c00569
12,α-Farnesene,DPP1,"Engineered Saccharomyces cerevisiae strain producing α-farnesene via metabolic engineering, achieving a titer of 10.4 g/L in fed-batch fermentation.",10.1021_acs.jafc.1c00008.pdf,10.1021/acs.jafc.1c00008
13,β-Farnesene,N/A,Sesquiterpenoid produced by engineered Yarrowia lipolytica.,metabolic-engineering-of-yarrowia-lipolytica-for-terpenoid-production-tools-and-strategies.pdf,10.1021/acssynbio.2c00569
14,α-Humulene,N/A,Sesquiterpenoid produced by engineered Yarrowia lipolytica.,metabolic-engineering-of-yarrowia-lipolytica-for-terpenoid-production-tools-and-strategies.pdf,10.1021/acssynbio.2c00569
15,α-Santalene,N/A,"A high-value sesquiterpene hydrocarbon produced by engineered Saccharomyces cerevisiae, serving as a precursor for commercially relevant sesquiterpenes. Generated via metabolic engineering of the mevalonate pathway and FPP branch point.",10.1016_j.ymben.2012.01.007.pdf,10.1016/j.ymben.2012.01.007
16,α-Bisabolene,N/A,Sesquiterpenoid produced by engineered Yarrowia lipolytica.,metabolic-engineering-of-yarrowia-lipolytica-for-terpenoid-production-tools-and-strategies.pdf,10.1021/acssynbio.2c00569
17,β-Bisabolene,N/A,Sesquiterpenoid produced by engineered Yarrowia lipolytica.,metabolic-engineering-of-yarrowia-lipolytica-for-terpenoid-production-tools-and-strategies.pdf,10.1021/acssynbio.2c00569
18,γ-Bisabolene,N/A,Sesquiterpenoid produced by engineered Yarrowia lipolytica.,metabolic-engineering-of-yarrowia-lipolytica-for-terpenoid-production-tools-and-strategies.pdf,10.1021/acssynbio.2c00569
22,Abscisic acid,N/A,Sesquiterpenoid produced by engineered Yarrowia lipolytica.,metabolic-engineering-of-yarrowia-lipolytica-for-terpenoid-production-tools-and-strategies.pdf,10.1021/acssynbio.2c00569
23,Retinol,N/A,Diterpenoid (Vitamin A) produced by engineered Yarrowia lipolytica.,metabolic-engineering-of-yarrowia-lipolytica-for-terpenoid-production-tools-and-strategies.pdf,10.1021/acssynbio.2c00569
24,Squalene,N/A,"Accumulated in engineered Saccharomyces cerevisiae YUG37-ERG1 by repressing ERG1 expression with doxycycline, yielding up to 7.89 mg/g dry biomass and 18.0 mg/L from grass juice.",10.1186_s13068-014-0133-7.pdf,10.1186/s13068-014-0133-7
26,Betulinic acid,N/A,"Triterpene derivative produced from lupeol oxidation by P450 enzymes in yeast, mentioned as an example of triterpene functionalization.",10.1007_s00253-013-5461-1.pdf,10.1007/s00253-013-5461-1
27,Protopanaxadiol,N/A,"An active triterpene compound and precursor of high-value ginsenosides, exhibiting promising anticancer activity. Produced by engineered Saccharomyces cerevisiae through cofermentation of glucose and xylose.",10.1038_s41598-018-34210-3.pdf,10.1038/s41598-018-34210-3
28,Lupeol,N/A,"A triterpenoid side product produced by engineered Saccharomyces cerevisiae expressing the BvBAS (Beta vulgaris β-amyrin synthase) enzyme, which exhibits multifunctional oxidosqualene cyclase activity.",10.1021_acssynbio.8b00176.pdf,10.1021/acssynbio.8b00176
29,Arjunolic acid,N/A,Triterpenoid produced by engineered Yarrowia lipolytica.,metabolic-engineering-of-yarrowia-lipolytica-for-terpenoid-production-tools-and-strategies.pdf,10.1021/acssynbio.2c00569
30,Lycopene,N/A,"A carotenoid pigment produced by engineered Saccharomyces cerevisiae through continuous self-cycling fermentation that recycles wastewater and biomass residue. Achieved 5.88 g/L in 70 L fermenters with 22.25% higher titer than traditional methods, reducing production costs by 29.6% and chemical oxygen demand by 64.0%. Possesses antioxidant, anti-cancer, and cardiovascular disease prevention properties for use in functional foods and as a food colorant.",10.3389_fbioe.2020.00420.pdf,10.3389/fbioe.2020.00420
31,β-Carotene,N/A,"A carotenoid pigment that serves as the precursor for β-ionone production. Engineered Saccharomyces cerevisiae strains accumulated up to 32 mg/gDCW of total carotenoids (primarily β-carotene) through heterologous expression of carotenogenic genes (CrtE, CrtYB, CrtI) from Xanthophyllomyces dendrorhous, representing the highest concentration reported for a constitutive expression system in yeast.",10.3389_fbioe.2020.578793.pdf,10.3389/fbioe.2020.578793
32,Canthaxanthin,N/A,An intermediate ketocarotenoid produced when H. pluvialis β-carotene ketolase (BKT) is expressed in S. cerevisiae.,metabolic-engineering-of-yarrowia-lipolytica-for-terpenoid-production-tools-and-strategies.pdf,10.1021/acssynbio.2c00569
33,Zeaxanthin,N/A,A lipophilic carotenoid precursor that accumulates in yeast cellular membranes and serves as the direct substrate for CCD2 cleavage in the engineered crocetin biosynthetic pathway. Its biosynthesis is temperature-dependent and synchronized with crocetin production using the GAL4M9 switch system.,10.1002_bit.24481.pdf,10.1002/bit.24481
34,Astaxanthin,N/A,"A carotenoid-derivative pigment with high antioxidant activity, produced by engineered Saccharomyces cerevisiae strains through metabolic engineering of the astaxanthin biosynthesis pathway.",10.1186_s12934-020-01356-7.pdf,10.1186/s12934-020-01356-7
35,β-Ionone,N/A,"A commercially attractive industrial fragrance with woody-violet aroma, produced as an apocarotenoid by enzymatic cleavage of β-carotene using engineered carotenoid cleavage dioxygenase 1 (CCD1) from Petunia hybrida in Saccharomyces cerevisiae. The highest producing strain achieved 33 mg/L in shake flask cultures, representing the highest titer reported to date in yeast.",10.3389_fbioe.2020.578793.pdf,10.3389/fbioe.2020.578793
36,Gibberellin A3,N/A,Terpenoid derivative (plant hormone) produced by engineered Yarrowia lipolytica.,metabolic-engineering-of-yarrowia-lipolytica-for-terpenoid-production-tools-and-strategies.pdf,10.1021/acssynbio.2c00569
37,Gibberellin A4,N/A,Terpenoid derivative (plant hormone) produced by engineered Yarrowia lipolytica.,metabolic-engineering-of-yarrowia-lipolytica-for-terpenoid-production-tools-and-strategies.pdf,10.1021/acssynbio.2c00569
38,Gibberellin A9,N/A,Terpenoid derivative (plant hormone) produced by engineered Yarrowia lipolytica.,metabolic-engineering-of-yarrowia-lipolytica-for-terpenoid-production-tools-and-strategies.pdf,10.1021/acssynbio.2c00569
41,flaviolin,N/A,Red-colored molecule produced by the type III polyketide synthase RppA through one-step conversion of malonyl-CoA; used as a colorimetric reporter for malonyl-CoA levels.,Metabolic Engineering_2023.pdf,10.1016/j.ymben.2023.09.009
57,itaconic acid,N/A,"A versatile monomer produced by engineered Saccharomyces cerevisiae, used as a petrochemical replacement for plastics, rubbers, and as polyitaconic acid.",10.1007_s00253-014-5895-0.pdf,10.1007/s00253-014-5895-0
60,3-hydroxypropionic acid,N/A,"Produced via malonyl-CoA reductase-dependent pathway in engineered Saccharomyces cerevisiae. Used as a precursor for acrylic acid and acrylic esters, with applications in polymers, adhesives, coatings, and biodegradable polyesters. Achieved 9.8 g/L titer at pH 5 in carbon-limited fed-batch cultivation.",10.1186_s12934-016-0451-5.pdf,10.1186/s12934-016-0451-5
61,trans-cinnamic acid,N/A,Produced in E. coli with a HcaR-based biosensor for real-time detection and yield improvement.,Genetic-Biosensor-Design-for-Natural-Product-Biosy.pdf,10.1016/j.tibtech.2020.03.013
65,adipic acid,N/A,"A high-value chemical precursor used for nylon, coatings, plastics, and plasticizers production. Can be produced via chemical hydrogenation of biotechnologically synthesized cis,cis-muconic acid.",10.1016_j.ymben.2012.10.003.pdf,10.1016/j.ymben.2012.10.003
67,ectoine,N/A,Biosynthesized in E. coli using an AraC-based biosensor for screening rate-limiting enzymes.,Genetic-Biosensor-Design-for-Natural-Product-Biosy.pdf,10.1016/j.tibtech.2020.03.013
68,tyrosine,N/A,"Aromatic amino acid whose production was improved through FREP evolution in E. coli, resulting in 5-fold increase.",Genetic-Biosensor-Design-for-Natural-Product-Biosy.pdf,10.1016/j.tibtech.2020.03.013
69,D-psicose,N/A,Detected in cell-free systems using a PsiR-based biosensor for enzymatic production monitoring.,Genetic-Biosensor-Design-for-Natural-Product-Biosy.pdf,10.1016/j.tibtech.2020.03.013
71,L-lysine,N/A,Produced in E. coli using a native riboswitch-based biosensor (5'-UTR of LysC) for strain enrichment.,Genetic-Biosensor-Design-for-Natural-Product-Biosy.pdf,10.1016/j.tibtech.2020.03.013
72,L-tryptophan,N/A,Biosynthesized in E. coli with an artificial riboswitch-based biosensor for producer screening.,Genetic-Biosensor-Design-for-Natural-Product-Biosy.pdf,10.1016/j.tibtech.2020.03.013
74,caprolactam,N/A,Detected in E. coli with an artificial riboswitch-based biosensor for specificity to lactam compounds.,Genetic-Biosensor-Design-for-Natural-Product-Biosy.pdf,10.1016/j.tibtech.2020.03.013
75,theophylline,N/A,"Engineered production of theophylline (1,3-dimethylxanthine) as an alternative methylxanthine product in yeast strains, achieving titers of 61.4 μg/L in bioreactor experiments. Known as an antiasthma therapeutic compound.",10.1016_j.ymben.2016.08.003.pdf,10.1016/j.ymben.2016.08.003
76,paromomycin,N/A,Detected in S. cerevisiae with an artificial riboswitch-based biosensor for product monitoring.,Genetic-Biosensor-Design-for-Natural-Product-Biosy.pdf,10.1016/j.tibtech.2020.03.013
77,adenosyl-cobalamin,N/A,Produced in E. coli and screened using a riboswitch-based biosensor (5'-UTR of BtuB) for high yield.,Genetic-Biosensor-Design-for-Natural-Product-Biosy.pdf,10.1016/j.tibtech.2020.03.013
78,histamine,N/A,Monitored in cell-free/liposome systems using an artificial riboswitch-based biosensor.,Genetic-Biosensor-Design-for-Natural-Product-Biosy.pdf,10.1016/j.tibtech.2020.03.013
79,resveratrol,N/A,"A stilbenoid antioxidant commercially produced by engineered yeast strains, acquired by Evolva AG.",10.1128_AEM.00609-06.pdf,10.1128/AEM.00609-06
81,medium-chain fatty acids,N/A,Detected using a GPCR-based biosensor for extracellular sensing in metabolic engineering.,10.1002_bit.25239.pdf,10.1002/bit.25239
83,quercetin,N/A,"A flavonol produced by engineered Saccharomyces cerevisiae strain QUE44 expressing 8 plant genes (PAL, C4H, 4CL, CHS, CHI, F3H, F30H, FLS). Production reached 0.26 mg/L from p-coumaric acid and 0.38 mg/L from naringenin precursor; trace amounts from phenylalanine in defined media.",10.1016_j.ymben.2009.07.004.pdf,10.1016/j.ymben.2009.07.004
89,"1,3-propanediol",N/A,"Produced from industrial waste glycerol via anaerobic fermentation by Saccharomyces cerevisiae (instant baker's yeast) at 25°C, achieving 42.3 wt% yield with 93.6 wt% glycerol conversion. Used as a high-value specialty chemical in polyester fibers, films, coatings, textile industry, food packaging, lubricants, and medicine. Non-flammable, low toxicity, biodegradable, and miscible with water, alcohols, and ethers.",10.1039_C6GC00125D.pdf,10.1039/c6gc00125d
94,monoterpenes,N/A,"Produced from glucose in a complex cell-free system involving a purge valve for regulating reducing equivalents, achieving titers up to 16 g/l, an order of magnitude higher than in cells.",Synthetic-Biochemistry--The-Bio-inspired-Cell-Free.pdf,10.1016/j.tibtech.2019.12.024
