tag_id,tag_name,tag_category
1,monoterpenoid,
2,C10 alcohol,
3,perfume,
4,repellent,
5,anticonvulsant,
6,copolymer monomer,
7,sesterterpenoid,
8,precursor,
9,5-8-5 tricyclic skeleton,
10,cytotoxic,
11,novel structure,
12,oxidized ophiobolin,
13,anti-tumor,
14,bioactive,
17,medicinal value,
18,prebiotic,
19,health-benefiting,
20,dietary fiber,
21,anti-obesity,
22,anti-diabetic,
23,anti-inflammatory,
24,anti-viral,
28,anti-oxidative,
30,gut microbiota modulation,
32,C5H8,
33,hemiterpenoid,
34,C10H16,
38,C10H18O,
42,C15H24,
43,sesquiterpenoid,
56,C15H26O,
58,C15H22O,
62,C15H24O4,
64,C20H30O,
65,diterpenoid,
66,vitamin,
67,C30H50,
68,triterpenoid,
69,C30H48O3,
73,C30H52O3,
75,C30H50O,
77,C30H48O5,
79,C40H56,
80,tetraterpenoid,
81,carotenoid,
85,provitamin A,
86,C40H52O2,
89,C40H56O2,
92,C40H52O4,
95,antioxidant,
96,C13H20O,
97,terpenoid derivative,
98,aroma compound,
99,C19H22O6,
101,gibberellin,
102,C19H24O5,
105,C19H24O4,
108,C36H62O8,
110,ginsenoside,
112,central metabolite,
113,fatty acid synthesis,
114,polyketide synthesis,
115,pigment,
116,reporter,
117,polyketide,
118,colorimetric screening,
121,vitamin A precursor,
122,isoprenoid,
124,fluorescent,
125,betalain,
126,tyrosine-derived,
130,industrial pigment,
131,natural products,
132,biosynthesis,
133,microbial production,
134,alkyne,
137,flavonoid,
138,coculture,
139,microbial synthesis,
140,biopolymer,
141,metabolic engineering,
142,synthetic biology,
143,biomolecules,
144,screening,
145,microdroplet,
147,recombineering,
148,biosynthetic pathways,
150,protein engineering,
153,E. coli,
155,commodity chemicals,
156,cell-free,
157,synthetic biochemistry,
159,microbial chassis,
162,biosensors,
163,microorganisms,
165,industrial engineering,
166,platforms,
167,organic acid,
168,industrial chemical,
169,lipid,
170,biofuel precursor,
171,alcohol,
172,surfactant,
174,platform chemical,
175,phenylpropanoid,
176,flavor compound,
179,dicarboxylic acid,
180,polymer precursor,
181,amino acid,
182,feed additive,
184,nylon precursor,
186,metabolic intermediate,
187,compatible solute,
188,osmoprotectant,
191,rare sugar,
192,low-calorie sweetener,
193,aromatic acid,
194,preservative,
198,pharmaceutical precursor,
201,lactam,
203,xanthine,
204,pharmaceutical,
205,aminoglycoside,
206,antibiotic,
207,vitamin B12,
208,cofactor,
209,biogenic amine,
210,signaling molecule,
211,stilbenoid,
213,neurotransmitter,
214,hormone,
216,biofuel,
217,polyamine,
222,bioactive compound,
230,commodity chemical,
231,high yield,
233,building block chemical,
237,high productivity,
240,renewable,
242,simplified pathway,
244,toxic,
245,high titer,
246,terpene,
249,high-value,
250,sugar alcohol,
251,large scale,
253,industrial,
255,metabolite,
264,high-yield,
266,building block,
267,engineered E. coli,
281,terpenes,
284,toxic compound tolerance,
285,monoterpene,
286,cofactor-dependent,
288,natural product,
291,chemical,
293,large-scale,
296,biochemical,
299,multi-enzyme,
302,enzymatic catalysis,
305,thermostable enzymes,
308,pathway engineering,
318,clean energy,
320,next-generation biofuel,
321,terpenoid,
322,flavor and fragrance,
330,bioplastic,
332,nutraceutical,
334,chemical intermediate,
339,solvent,
340,sweetener,
343,natural colorant,
345,water-soluble,
346,betacyanin,
347,food colorant,
349,glycoside,
350,betaxanthin,
353,proline conjugate,
356,glutamine conjugate,
359,diglucoside,
362,structural isomer,
365,carboxylated derivative,
368,DOPA conjugate,
370,fungal pigment,
374,tyrosine conjugate,
380,amino acid conjugate,
382,bisindole,
385,antimicrobial,
386,antiparasitic,
387,UV-resistant,
391,functional fabric,
393,nanoparticle composite,
397,biodegradable polymer,
398,bone tissue engineering,
399,biocompatible,
400,sunscreen,
401,UV-absorbing,
402,cosmetic ingredient,
403,drug delivery,
404,nanoparticle,
406,controlled release,
414,biopolymer composite,
416,synergistic,
421,solubility enhancement,
423,flavin,
424,anti-bacterial,
425,Gram-positive,
429,anti-parasitic,
430,anti-cancer,
432,coenzyme,
439,enzyme cofactor,
440,redox-active,
445,antimetabolite,
446,flavin analogue,
447,toxic cofactor,
448,antiplasmodial,
457,neuroprotective,
458,cardioprotective,
463,anti-hyperglycemic,
464,hypolipidemic,
465,pharmacological,
467,pentacyclic,
473,hepatoprotective,
478,ursane-type,
479,pharmaceutical intermediate,
482,oleanane-type,
484,triterpene precursor,
487,triterpene,
488,antineoplastic,
489,antidepressant,
494,stereoselective,
496,fragrance,
497,bicyclic,
500,semisynthesis precursor,
501,clerodane,
503,pharmaceutical scaffold,
510,synthetic substitute,
511,fatty acid,
512,conjugated linoleic acid,
513,health-promoting,
515,lipid metabolism,
516,single isomer,
518,fatty acid ester,
519,biodiesel,
522,sesquiterpene,
525,short-chain,
528,long-chain,
530,alkane,
531,alkene,
532,hydrocarbon,
538,aviation fuel,
546,renewable energy,
547,fermentation product,
549,non-proteinogenic amino acid,
550,food supplement,
552,antihypertensive,
553,antiepileptic,
554,anti-anxiety,
558,tripeptide,
560,redox buffer,
561,detoxifier,
563,food additive,
564,cosmetic,
567,low-calorie,
568,dental health,
570,biomass-derived,
572,sleep-aid,
573,anti-oxidant,
574,dietary supplement,
578,intermediate,
580,sugar acid,
581,biodegradable detergent builder,
583,therapeutic,
584,cholesterol reduction,
589,renewable chemical,
592,synthetic rubber,
594,fuel additive,
595,polymer,
596,drugs,
597,cosmetic products,
598,byproduct,
599,redox balance,
601,fermentation,
604,unsaturated dicarboxylic acid,
605,bio-based chemical,
607,monomer,
608,polymer intermediate,
609,PET precursor,
612,shikimate derivative,
613,aromatic compound,
619,feedstock chemical,
620,bio-based product,
621,amino sugar,
